model,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,bottle,42,degradation,low_light,mild,none,0.5
PaDiM,bottle,42,rescue,low_light,mild,CLAHE,0.5
PaDiM,bottle,42,rescue,low_light,mild,Retinex,0.5
PaDiM,bottle,42,degradation,low_light,moderate,none,0.5
PaDiM,bottle,42,rescue,low_light,moderate,CLAHE,0.5
PaDiM,bottle,42,rescue,low_light,moderate,Retinex,0.5
PaDiM,bottle,42,degradation,gaussian_blur,mild,none,0.997619092464447
PaDiM,bottle,42,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,bottle,42,degradation,gaussian_blur,moderate,none,0.811904788017273
PaDiM,bottle,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,bottle,42,degradation,motion_blur,mild,none,0.8999999761581421
PaDiM,bottle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,bottle,42,degradation,motion_blur,moderate,none,0.6952381134033203
PaDiM,bottle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,bottle,42,degradation,sensor_noise,mild,none,0.5
PaDiM,bottle,42,rescue,sensor_noise,mild,NLM Denoise,0.4888889193534851
PaDiM,bottle,42,degradation,sensor_noise,moderate,none,0.5
PaDiM,bottle,42,rescue,sensor_noise,moderate,NLM Denoise,0.5
PaDiM,bottle,42,degradation,fog_haze,mild,none,0.4007936716079712
PaDiM,bottle,42,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5968254208564758
PaDiM,bottle,42,degradation,fog_haze,moderate,none,0.7484127283096313
PaDiM,bottle,42,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.4519841074943542
PaDiM,bottle,123,degradation,low_light,mild,none,0.5
PaDiM,bottle,123,rescue,low_light,mild,CLAHE,0.5
PaDiM,bottle,123,rescue,low_light,mild,Retinex,0.5
PaDiM,bottle,123,degradation,low_light,moderate,none,0.5
PaDiM,bottle,123,rescue,low_light,moderate,CLAHE,0.5
PaDiM,bottle,123,rescue,low_light,moderate,Retinex,0.5
PaDiM,bottle,123,degradation,gaussian_blur,mild,none,0.9833333492279052
PaDiM,bottle,123,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,bottle,123,degradation,gaussian_blur,moderate,none,0.8476189970970154
PaDiM,bottle,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,bottle,123,degradation,motion_blur,mild,none,0.9873015880584716
PaDiM,bottle,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,bottle,123,degradation,motion_blur,moderate,none,0.8841269612312317
PaDiM,bottle,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,bottle,123,degradation,sensor_noise,mild,none,0.5
PaDiM,bottle,123,rescue,sensor_noise,mild,NLM Denoise,0.5
PaDiM,bottle,123,degradation,sensor_noise,moderate,none,0.5
PaDiM,bottle,123,rescue,sensor_noise,moderate,NLM Denoise,0.5
PaDiM,bottle,123,degradation,fog_haze,mild,none,0.6722222566604614
PaDiM,bottle,123,rescue,fog_haze,mild,Dehaze (Dark Channel),0.8111110925674438
PaDiM,bottle,123,degradation,fog_haze,moderate,none,0.6626983880996704
PaDiM,bottle,123,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5103174448013306
PaDiM,bottle,456,degradation,low_light,mild,none,0.5087301731109619
PaDiM,bottle,456,rescue,low_light,mild,CLAHE,0.5166666507720947
PaDiM,bottle,456,rescue,low_light,mild,Retinex,0.6388888955116272
PaDiM,bottle,456,degradation,low_light,moderate,none,0.550000011920929
PaDiM,bottle,456,rescue,low_light,moderate,CLAHE,0.6301587224006653
PaDiM,bottle,456,rescue,low_light,moderate,Retinex,0.6690475940704346
PaDiM,bottle,456,degradation,gaussian_blur,mild,none,0.9404761791229248
