model,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,bottle,42,baseline,clean,none,none,1.0
PatchCore,bottle,42,degradation,low_light,mild,none,0.9365079402923584
PatchCore,bottle,42,degradation,low_light,moderate,none,0.9674603343009948
PatchCore,bottle,42,degradation,low_light,severe,none,0.961904764175415
PatchCore,bottle,42,rescue,low_light,severe,CLAHE,0.8777778148651123
PatchCore,bottle,42,rescue,low_light,severe,Retinex,0.949999988079071
PatchCore,bottle,42,degradation,gaussian_blur,mild,none,1.0
PatchCore,bottle,42,degradation,gaussian_blur,moderate,none,0.8888888955116272
PatchCore,bottle,42,degradation,gaussian_blur,severe,none,0.5722222328186035
PatchCore,bottle,42,rescue,gaussian_blur,severe,Wiener,0.7273809909820557
PatchCore,bottle,42,degradation,motion_blur,mild,none,1.0
PatchCore,bottle,42,degradation,motion_blur,moderate,none,0.8976190686225891
PatchCore,bottle,42,degradation,motion_blur,severe,none,0.730158805847168
PatchCore,bottle,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.5623016357421875
PatchCore,bottle,42,degradation,sensor_noise,mild,none,0.8603174686431885
PatchCore,bottle,42,degradation,sensor_noise,moderate,none,0.8134920597076416
PatchCore,bottle,42,degradation,sensor_noise,severe,none,0.7507936954498291
PatchCore,bottle,42,rescue,sensor_noise,severe,NLM Denoise,0.8761904835700989
PatchCore,bottle,42,degradation,fog_haze,mild,none,0.4904761910438537
PatchCore,bottle,42,degradation,fog_haze,moderate,none,0.7968254089355469
PatchCore,bottle,42,degradation,fog_haze,severe,none,0.7150794267654419
PatchCore,bottle,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.8158730268478394
PatchCore,bottle,123,baseline,clean,none,none,1.0
PatchCore,bottle,123,degradation,low_light,mild,none,0.9341269731521606
PatchCore,bottle,123,degradation,low_light,moderate,none,0.9611111283302308
PatchCore,bottle,123,degradation,low_light,severe,none,0.9603174328804016
PatchCore,bottle,123,rescue,low_light,severe,CLAHE,0.8928571939468384
PatchCore,bottle,123,rescue,low_light,severe,Retinex,0.9547619223594666
PatchCore,bottle,123,degradation,gaussian_blur,mild,none,1.0
PatchCore,bottle,123,degradation,gaussian_blur,moderate,none,0.8976190686225891
PatchCore,bottle,123,degradation,gaussian_blur,severe,none,0.565079391002655
PatchCore,bottle,123,rescue,gaussian_blur,severe,Wiener,0.7230159044265747
PatchCore,bottle,123,degradation,motion_blur,mild,none,0.9992063641548156
PatchCore,bottle,123,degradation,motion_blur,moderate,none,0.9023810029029846
PatchCore,bottle,123,degradation,motion_blur,severe,none,0.5980159044265747
PatchCore,bottle,123,rescue,motion_blur,severe,Wiener (Motion PSF),0.5484127402305603
PatchCore,bottle,123,degradation,sensor_noise,mild,none,0.8658729791641235
PatchCore,bottle,123,degradation,sensor_noise,moderate,none,0.8071428537368774
PatchCore,bottle,123,degradation,sensor_noise,severe,none,0.7484127283096313
PatchCore,bottle,123,rescue,sensor_noise,severe,NLM Denoise,0.8777777552604675
PatchCore,bottle,123,degradation,fog_haze,mild,none,0.4706349372863769
PatchCore,bottle,123,degradation,fog_haze,moderate,none,0.841269850730896
PatchCore,bottle,123,degradation,fog_haze,severe,none,0.6063492298126221
PatchCore,bottle,123,rescue,fog_haze,severe,Dehaze (Dark Channel),0.8595238327980042
PatchCore,bottle,456,baseline,clean,none,none,1.0
PatchCore,bottle,456,degradation,low_light,mild,none,0.9373015761375428
PatchCore,bottle,456,degradation,low_light,moderate,none,0.962698459625244
PatchCore,bottle,456,degradation,low_light,severe,none,0.9595237970352172
PatchCore,bottle,456,rescue,low_light,severe,CLAHE,0.8896825313568115
PatchCore,bottle,456,rescue,low_light,severe,Retinex,0.9658730030059814
PatchCore,bottle,456,degradation,gaussian_blur,mild,none,1.0
PatchCore,bottle,456,degradation,gaussian_blur,moderate,none,0.899206280708313
PatchCore,bottle,456,degradation,gaussian_blur,severe,none,0.5492063760757446
PatchCore,bottle,456,rescue,gaussian_blur,severe,Wiener,0.7555555701255798
PatchCore,bottle,456,degradation,motion_blur,mild,none,1.0
PatchCore,bottle,456,degradation,motion_blur,moderate,none,0.9039682149887084
PatchCore,bottle,456,degradation,motion_blur,severe,none,0.7658730745315552
PatchCore,bottle,456,rescue,motion_blur,severe,Wiener (Motion PSF),0.5873016119003296
PatchCore,bottle,456,degradation,sensor_noise,mild,none,0.8634920716285706
PatchCore,bottle,456,degradation,sensor_noise,moderate,none,0.8198412656784058
PatchCore,bottle,456,degradation,sensor_noise,severe,none,0.7253968715667725
PatchCore,bottle,456,rescue,sensor_noise,severe,NLM Denoise,0.8738095164299011
PatchCore,bottle,456,degradation,fog_haze,mild,none,0.3968254029750824
PatchCore,bottle,456,degradation,fog_haze,moderate,none,0.7698413133621216
PatchCore,bottle,456,degradation,fog_haze,severe,none,0.6472222208976746
PatchCore,bottle,456,rescue,fog_haze,severe,Dehaze (Dark Channel),0.8452380895614624
PatchCore,cable,42,baseline,clean,none,none,0.9902548789978028
PatchCore,cable,42,degradation,low_light,mild,none,0.9696402549743652
PatchCore,cable,42,degradation,low_light,moderate,none,0.922976016998291
PatchCore,cable,42,degradation,low_light,severe,none,0.8268365859985352
PatchCore,cable,42,rescue,low_light,severe,CLAHE,0.8538230657577515
PatchCore,cable,42,rescue,low_light,severe,Retinex,0.8097826242446899
PatchCore,cable,42,degradation,gaussian_blur,mild,none,0.9177286624908448
PatchCore,cable,42,degradation,gaussian_blur,moderate,none,0.532421350479126
PatchCore,cable,42,degradation,gaussian_blur,severe,none,0.5
PatchCore,cable,42,rescue,gaussian_blur,severe,Wiener,0.5
PatchCore,cable,42,degradation,motion_blur,mild,none,0.7889804840087891
PatchCore,cable,42,degradation,motion_blur,moderate,none,0.5
PatchCore,cable,42,degradation,motion_blur,severe,none,0.5
PatchCore,cable,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.6116941571235657
PatchCore,cable,42,degradation,sensor_noise,mild,none,0.9724512696266174
PatchCore,cable,42,degradation,sensor_noise,moderate,none,0.9390929341316224
PatchCore,cable,42,degradation,sensor_noise,severe,none,0.8948650360107422
PatchCore,cable,42,rescue,sensor_noise,severe,NLM Denoise,0.7634932398796082
PatchCore,cable,42,degradation,fog_haze,mild,none,0.8455771803855896
PatchCore,cable,42,degradation,fog_haze,moderate,none,0.808845579624176
PatchCore,cable,42,degradation,fog_haze,severe,none,0.6758807897567749
PatchCore,cable,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.7743628025054932
PatchCore,cable,123,baseline,clean,none,none,0.9900674819946288
PatchCore,cable,123,degradation,low_light,mild,none,0.9713268280029296
PatchCore,cable,123,degradation,low_light,moderate,none,0.9269115328788756
PatchCore,cable,123,degradation,low_light,severe,none,0.8095951676368713
PatchCore,cable,123,rescue,low_light,severe,CLAHE,0.8600075244903564
PatchCore,cable,123,rescue,low_light,severe,Retinex,0.8332083821296692
PatchCore,cable,123,degradation,gaussian_blur,mild,none,0.914730191230774
PatchCore,cable,123,degradation,gaussian_blur,moderate,none,0.5123688578605652
PatchCore,cable,123,degradation,gaussian_blur,severe,none,0.5
PatchCore,cable,123,rescue,gaussian_blur,severe,Wiener,0.5
PatchCore,cable,123,degradation,motion_blur,mild,none,0.7822338938713074
PatchCore,cable,123,degradation,motion_blur,moderate,none,0.5375750064849854
PatchCore,cable,123,degradation,motion_blur,severe,none,0.5
PatchCore,cable,123,rescue,motion_blur,severe,Wiener (Motion PSF),0.6173163056373596
PatchCore,cable,123,degradation,sensor_noise,mild,none,0.9597076773643494
PatchCore,cable,123,degradation,sensor_noise,moderate,none,0.9269115328788756
PatchCore,cable,123,degradation,sensor_noise,severe,none,0.890367329120636
PatchCore,cable,123,rescue,sensor_noise,severe,NLM Denoise,0.7631184458732605
PatchCore,cable,123,degradation,fog_haze,mild,none,0.8708771467208862
PatchCore,cable,123,degradation,fog_haze,moderate,none,0.7897301316261292
PatchCore,cable,123,degradation,fog_haze,severe,none,0.6472076177597046
PatchCore,cable,123,rescue,fog_haze,severe,Dehaze (Dark Channel),0.7974137663841248
PatchCore,cable,456,baseline,clean,none,none,0.9872563481330872
PatchCore,cable,456,degradation,low_light,mild,none,0.9767615795135498
PatchCore,cable,456,degradation,low_light,moderate,none,0.9315966367721558
PatchCore,cable,456,degradation,low_light,severe,none,0.8184033036231995
PatchCore,cable,456,rescue,low_light,severe,CLAHE,0.8656296730041504
PatchCore,cable,456,rescue,low_light,severe,Retinex,0.8290854692459106
PatchCore,cable,456,degradation,gaussian_blur,mild,none,0.9263492822647096
PatchCore,cable,456,degradation,gaussian_blur,moderate,none,0.5296102166175842
PatchCore,cable,456,degradation,gaussian_blur,severe,none,0.5
PatchCore,cable,456,rescue,gaussian_blur,severe,Wiener,0.5
PatchCore,cable,456,degradation,motion_blur,mild,none,0.7805472612380981
PatchCore,cable,456,degradation,motion_blur,moderate,none,0.517241358757019
PatchCore,cable,456,degradation,motion_blur,severe,none,0.5
PatchCore,cable,456,rescue,motion_blur,severe,Wiener (Motion PSF),0.6236881613731384
PatchCore,cable,456,degradation,sensor_noise,mild,none,0.970014989376068
PatchCore,cable,456,degradation,sensor_noise,moderate,none,0.9390929937362672
PatchCore,cable,456,degradation,sensor_noise,severe,none,0.8976762294769287
PatchCore,cable,456,rescue,sensor_noise,severe,NLM Denoise,0.7541229724884033
PatchCore,cable,456,degradation,fog_haze,mild,none,0.8755621910095215
PatchCore,cable,456,degradation,fog_haze,moderate,none,0.7792353630065918
PatchCore,cable,456,degradation,fog_haze,severe,none,0.6870314478874207
PatchCore,cable,456,rescue,fog_haze,severe,Dehaze (Dark Channel),0.8165292739868164
PatchCore,capsule,42,baseline,clean,none,none,0.9932190179824828
PatchCore,capsule,42,degradation,low_light,mild,none,0.9473474025726318
PatchCore,capsule,42,degradation,low_light,moderate,none,0.5496609210968018
PatchCore,capsule,42,degradation,low_light,severe,none,0.5169525146484375
PatchCore,capsule,42,rescue,low_light,severe,CLAHE,0.4954128563404083
PatchCore,capsule,42,rescue,low_light,severe,Retinex,0.5
PatchCore,capsule,42,degradation,gaussian_blur,mild,none,0.8548065423965454
PatchCore,capsule,42,degradation,gaussian_blur,moderate,none,0.5
PatchCore,capsule,42,degradation,gaussian_blur,severe,none,0.5
PatchCore,capsule,42,rescue,gaussian_blur,severe,Wiener,0.5
PatchCore,capsule,42,degradation,motion_blur,mild,none,0.5482648611068726
PatchCore,capsule,42,degradation,motion_blur,moderate,none,0.5
PatchCore,capsule,42,degradation,motion_blur,severe,none,0.5
