model,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,bottle,42,degradation,low_light,mild,none,0.9365079402923584
PatchCore,bottle,42,rescue,low_light,mild,CLAHE,0.9333333969116212
PatchCore,bottle,42,rescue,low_light,mild,Retinex,0.9444444179534912
PatchCore,bottle,42,degradation,low_light,moderate,none,0.9674603343009948
PatchCore,bottle,42,rescue,low_light,moderate,CLAHE,0.9246031641960144
PatchCore,bottle,42,rescue,low_light,moderate,Retinex,0.9539682865142822
PatchCore,bottle,42,degradation,gaussian_blur,mild,none,1.0
PatchCore,bottle,42,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,bottle,42,degradation,gaussian_blur,moderate,none,0.8888888955116272
PatchCore,bottle,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,bottle,42,degradation,motion_blur,mild,none,1.0
PatchCore,bottle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,bottle,42,degradation,motion_blur,moderate,none,0.8976190686225891
PatchCore,bottle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,bottle,42,degradation,sensor_noise,mild,none,0.8603174686431885
PatchCore,bottle,42,rescue,sensor_noise,mild,NLM Denoise,0.9015873074531556
PatchCore,bottle,42,degradation,sensor_noise,moderate,none,0.8134920597076416
PatchCore,bottle,42,rescue,sensor_noise,moderate,NLM Denoise,0.9380952715873718
PatchCore,bottle,42,degradation,fog_haze,mild,none,0.5253968238830566
PatchCore,bottle,42,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5230158567428589
PatchCore,bottle,42,degradation,fog_haze,moderate,none,0.7642857432365417
PatchCore,bottle,42,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5761904716491699
PatchCore,bottle,123,degradation,low_light,mild,none,0.9341269731521606
PatchCore,bottle,123,rescue,low_light,mild,CLAHE,0.932539701461792
PatchCore,bottle,123,rescue,low_light,mild,Retinex,0.9357142448425292
PatchCore,bottle,123,degradation,low_light,moderate,none,0.9611111283302308
PatchCore,bottle,123,rescue,low_light,moderate,CLAHE,0.9420635104179382
PatchCore,bottle,123,rescue,low_light,moderate,Retinex,0.9626984000205994
PatchCore,bottle,123,degradation,gaussian_blur,mild,none,1.0
PatchCore,bottle,123,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,bottle,123,degradation,gaussian_blur,moderate,none,0.8976190686225891
PatchCore,bottle,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,bottle,123,degradation,motion_blur,mild,none,0.9992063641548156
PatchCore,bottle,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,bottle,123,degradation,motion_blur,moderate,none,0.9023810029029846
PatchCore,bottle,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,bottle,123,degradation,sensor_noise,mild,none,0.8658729791641235
PatchCore,bottle,123,rescue,sensor_noise,mild,NLM Denoise,0.9166666269302368
PatchCore,bottle,123,degradation,sensor_noise,moderate,none,0.8071428537368774
PatchCore,bottle,123,rescue,sensor_noise,moderate,NLM Denoise,0.9222221970558168
PatchCore,bottle,123,degradation,fog_haze,mild,none,0.5444444417953491
PatchCore,bottle,123,rescue,fog_haze,mild,Dehaze (Dark Channel),0.6015872955322266
PatchCore,bottle,123,degradation,fog_haze,moderate,none,0.9071428775787354
PatchCore,bottle,123,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.699999988079071
PatchCore,bottle,456,degradation,low_light,mild,none,0.9373015761375428
PatchCore,bottle,456,rescue,low_light,mild,CLAHE,0.9317460060119628
PatchCore,bottle,456,rescue,low_light,mild,Retinex,0.941269874572754
PatchCore,bottle,456,degradation,low_light,moderate,none,0.962698459625244
PatchCore,bottle,456,rescue,low_light,moderate,CLAHE,0.920634925365448
PatchCore,bottle,456,rescue,low_light,moderate,Retinex,0.9650793671607972
PatchCore,bottle,456,degradation,gaussian_blur,mild,none,1.0
PatchCore,bottle,456,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,bottle,456,degradation,gaussian_blur,moderate,none,0.899206280708313
PatchCore,bottle,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,bottle,456,degradation,motion_blur,mild,none,1.0
PatchCore,bottle,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,bottle,456,degradation,motion_blur,moderate,none,0.9039682149887084
PatchCore,bottle,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,bottle,456,degradation,sensor_noise,mild,none,0.8634920716285706
PatchCore,bottle,456,rescue,sensor_noise,mild,NLM Denoise,0.9246031641960144
