model,dataset,category,seed,condition,ctype,severity,rescue,image_index,is_anomalous,anomaly_score,experiment
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,0,1,0.9522315263748169,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,1,1,0.9338068962097168,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,2,1,0.9225603342056274,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,3,1,0.9889148473739624,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,4,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,5,1,0.8173584342002869,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,6,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,7,1,0.8782224655151367,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,8,1,0.9639701843261719,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,9,1,0.8656013607978821,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,10,1,0.9649624824523926,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,11,1,0.7823907136917114,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,12,1,0.976755678653717,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,13,1,0.9066994190216064,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,14,1,0.9425538778305054,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,15,1,0.9588512778282166,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,16,1,0.8913546800613403,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,17,1,0.9585601687431335,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,18,1,0.9777622818946838,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,19,1,0.9189736843109131,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,20,1,0.6560826301574707,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,21,1,0.8878332376480103,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,22,1,0.9299473762512207,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,23,1,0.8988403081893921,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,24,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,25,1,0.7362547516822815,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,26,1,0.9371711015701294,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,27,1,0.7968350648880005,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,28,1,0.7889084815979004,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,29,1,0.894639790058136,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,30,1,0.9926652908325195,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,31,1,0.78175950050354,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,32,1,0.9267985224723816,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,33,1,0.8314031362533569,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,34,1,0.7091071009635925,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,35,1,0.842109203338623,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,36,1,0.8907163739204407,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,37,1,0.9901688694953918,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,38,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,39,1,0.966600775718689,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,40,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,41,1,0.8849875330924988,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,42,1,0.8214453458786011,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,43,1,0.5993667840957642,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,44,1,0.7582368850708008,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,45,1,0.5000004768371582,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,46,1,0.6129657626152039,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,47,1,0.9820513129234314,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,48,1,0.8870655298233032,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,49,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,50,1,0.8673014044761658,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,51,1,0.9709367752075195,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,52,1,0.991097092628479,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,53,1,0.6597580313682556,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,54,1,0.601280689239502,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,55,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,56,1,0.999409556388855,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,57,1,0.8994405269622803,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,58,1,0.5781975984573364,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,59,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,60,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,61,1,0.5650061368942261,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,62,1,0.575874924659729,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,63,0,0.23353907465934753,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,64,0,0.29856404662132263,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,65,0,0.26734668016433716,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,66,0,0.2268320918083191,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,67,0,0.2257220447063446,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,68,0,0.21501559019088745,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,69,0,0.2788543999195099,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,70,0,0.2897736132144928,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,71,0,0.2492174506187439,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,72,0,0.32504910230636597,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,73,0,0.2513011693954468,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,74,0,0.2218838334083557,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,75,0,0.23246216773986816,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,76,0,0.19408506155014038,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,77,0,0.22607135772705078,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,78,0,0.3030726909637451,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,79,0,0.2968329191207886,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,80,0,0.2121449112892151,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,81,0,0.2332739233970642,feature_space
PatchCore,MVTec-AD,bottle,42,clean,clean,none,none,82,0,0.3061540722846985,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,0,1,0.949020504951477,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,1,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,2,1,0.9068478941917419,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,3,1,0.949989914894104,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,4,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,5,1,0.8954999446868896,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,6,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,7,1,0.8462879657745361,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,8,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,9,1,0.9505648016929626,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,10,1,0.9665580987930298,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,11,1,0.8348367214202881,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,12,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,13,1,0.8741832375526428,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,14,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,15,1,0.9708564281463623,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,16,1,0.9154037237167358,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,17,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,18,1,0.8925786018371582,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,19,1,0.9197769165039062,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,20,1,0.7938920259475708,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,21,1,0.9872011542320251,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,22,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,23,1,0.9510909914970398,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,24,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,25,1,0.7890872955322266,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,26,1,0.9701725840568542,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,27,1,0.8902311325073242,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,28,1,0.7896404266357422,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,29,1,0.964792013168335,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,30,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,31,1,0.9319779872894287,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,32,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,33,1,0.8432976007461548,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,34,1,0.8518065214157104,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,35,1,0.8047314286231995,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,36,1,0.9424363374710083,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,37,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,38,1,1.0,feature_space
PatchCore,MVTec-AD,bottle,42,degraded,low_light,moderate,none,39,1,1.0,feature_space
