model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,held_out
PatchCore,MVTec-AD,carpet,42,degradation,low_light,mild,none,0.9803370237350464,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,carpet,42,degradation,low_light,moderate,none,0.9670947194099426,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,carpet,42,degradation,low_light,severe,none,0.8647672533988953,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,carpet,42,degradation,low_light,mild,none,0.9378010034561157,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,carpet,42,degradation,low_light,moderate,none,0.9097110629081726,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,carpet,42,degradation,low_light,severe,none,0.7596307992935181,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,carpet,42,degradation,gaussian_blur,mild,none,0.9767255187034607,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,carpet,42,degradation,gaussian_blur,moderate,none,0.8463082313537598,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,carpet,42,degradation,gaussian_blur,severe,none,0.5,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,carpet,42,degradation,gaussian_blur,mild,none,0.8996789455413818,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,carpet,42,degradation,gaussian_blur,moderate,none,0.545746386051178,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,carpet,42,degradation,gaussian_blur,severe,none,0.5222712755203247,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,carpet,42,degradation,motion_blur,mild,none,0.9109148979187012,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,carpet,42,degradation,motion_blur,moderate,none,0.7760834693908691,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,carpet,42,degradation,motion_blur,severe,none,0.5475521683692932,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,carpet,42,degradation,motion_blur,mild,none,0.9105136394500732,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,carpet,42,degradation,motion_blur,moderate,none,0.6661316156387329,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,carpet,42,degradation,motion_blur,severe,none,0.5016050934791565,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,carpet,42,degradation,sensor_noise,mild,none,0.9819421768188477,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,carpet,42,degradation,sensor_noise,moderate,none,0.9530497789382935,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,carpet,42,degradation,sensor_noise,severe,none,0.8940609693527222,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,carpet,42,degradation,sensor_noise,mild,none,0.8936597108840942,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,carpet,42,degradation,sensor_noise,moderate,none,0.7126805782318115,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,carpet,42,degradation,sensor_noise,severe,none,0.6316211819648743,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,carpet,42,degradation,fog_haze,mild,none,0.961075484752655,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,carpet,42,degradation,fog_haze,moderate,none,0.603130042552948,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,carpet,42,degradation,fog_haze,severe,none,0.530898928642273,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,carpet,42,degradation,fog_haze,mild,none,0.8394863605499268,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,carpet,42,degradation,fog_haze,moderate,none,0.6127608418464661,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,carpet,42,degradation,fog_haze,severe,none,0.48876404762268066,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,grid,42,degradation,low_light,mild,none,0.963241457939148,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,grid,42,degradation,low_light,moderate,none,0.9398496150970459,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,grid,42,degradation,low_light,severe,none,0.8763575553894043,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,grid,42,degradation,low_light,mild,none,0.8755221366882324,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,grid,42,degradation,low_light,moderate,none,0.925647497177124,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,grid,42,degradation,low_light,severe,none,0.8003342151641846,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,grid,42,degradation,gaussian_blur,mild,none,0.8989139795303345,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,grid,42,degradation,gaussian_blur,moderate,none,0.536758542060852,augmented_loco,leave_one_corruption_out,gaussian_blur
