model,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,bottle,42,rescue,gaussian_blur,mild,Wiener,0.9960317015647888
PatchCore,bottle,42,rescue,gaussian_blur,moderate,Wiener,0.7714285850524902
PatchCore,bottle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.8476190567016602
PatchCore,bottle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6960317492485046
PatchCore,bottle,123,rescue,gaussian_blur,mild,Wiener,0.9976189732551575
PatchCore,bottle,123,rescue,gaussian_blur,moderate,Wiener,0.7873016595840454
PatchCore,bottle,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.8428571224212646
PatchCore,bottle,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6944444179534912
PatchCore,bottle,456,rescue,gaussian_blur,mild,Wiener,0.9976189732551575
PatchCore,bottle,456,rescue,gaussian_blur,moderate,Wiener,0.7817460894584656
PatchCore,bottle,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.8428571224212646
PatchCore,bottle,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6984127163887024
PatchCore,cable,42,rescue,gaussian_blur,mild,Wiener,0.9497750997543335
PatchCore,cable,42,rescue,gaussian_blur,moderate,Wiener,0.5030921697616577
PatchCore,cable,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5762743949890137
PatchCore,cable,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5624063014984131
PatchCore,cable,123,rescue,gaussian_blur,mild,Wiener,0.9473388195037842
PatchCore,cable,123,rescue,gaussian_blur,moderate,Wiener,0.48725637793540955
PatchCore,cable,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5888305902481079
PatchCore,cable,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5858320593833923
PatchCore,cable,456,rescue,gaussian_blur,mild,Wiener,0.946401834487915
PatchCore,cable,456,rescue,gaussian_blur,moderate,Wiener,0.5032795667648315
PatchCore,cable,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5766491889953613
PatchCore,cable,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.566154420375824
PatchCore,capsule,42,rescue,gaussian_blur,mild,Wiener,0.7758276462554932
PatchCore,capsule,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,capsule,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,capsule,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,capsule,123,rescue,gaussian_blur,mild,Wiener,0.7850019931793213
PatchCore,capsule,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,capsule,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,capsule,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,capsule,456,rescue,gaussian_blur,mild,Wiener,0.7758277058601379
PatchCore,capsule,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,capsule,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,capsule,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,carpet,42,rescue,gaussian_blur,mild,Wiener,0.9823434948921204
PatchCore,carpet,42,rescue,gaussian_blur,moderate,Wiener,0.49438202381134033
PatchCore,carpet,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.9442214965820312
PatchCore,carpet,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.564606785774231
PatchCore,carpet,123,rescue,gaussian_blur,mild,Wiener,0.9803370833396912
PatchCore,carpet,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,carpet,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.9430176019668579
PatchCore,carpet,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5521669387817383
PatchCore,carpet,456,rescue,gaussian_blur,mild,Wiener,0.9855537414550781
PatchCore,carpet,456,rescue,gaussian_blur,moderate,Wiener,0.49438202381134033
PatchCore,carpet,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.9438202381134033
PatchCore,carpet,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5537720918655396
PatchCore,grid,42,rescue,gaussian_blur,mild,Wiener,0.6524645090103149
PatchCore,grid,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,grid,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5062656402587891
PatchCore,grid,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.523809552192688
PatchCore,grid,123,rescue,gaussian_blur,mild,Wiener,0.6608186960220337
PatchCore,grid,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,grid,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5146198868751526
PatchCore,grid,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.523809552192688
PatchCore,grid,456,rescue,gaussian_blur,mild,Wiener,0.6574770212173462
PatchCore,grid,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,grid,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.4979114532470703
PatchCore,grid,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5154553055763245
PatchCore,hazelnut,42,rescue,gaussian_blur,mild,Wiener,0.9996428489685059
PatchCore,hazelnut,42,rescue,gaussian_blur,moderate,Wiener,0.48250001668930054
PatchCore,hazelnut,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.662142813205719
PatchCore,hazelnut,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5903571248054504
PatchCore,hazelnut,123,rescue,gaussian_blur,mild,Wiener,0.9992856979370117
PatchCore,hazelnut,123,rescue,gaussian_blur,moderate,Wiener,0.5132142901420593
PatchCore,hazelnut,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6610714197158813
PatchCore,hazelnut,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5900000333786011
PatchCore,hazelnut,456,rescue,gaussian_blur,mild,Wiener,0.9989285469055176
PatchCore,hazelnut,456,rescue,gaussian_blur,moderate,Wiener,0.4917857050895691
PatchCore,hazelnut,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6603571772575378
PatchCore,hazelnut,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5753571391105652
PatchCore,leather,42,rescue,gaussian_blur,mild,Wiener,1.0
PatchCore,leather,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,leather,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.9972826242446899
PatchCore,leather,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.9273097515106201
PatchCore,leather,123,rescue,gaussian_blur,mild,Wiener,1.0
PatchCore,leather,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,leather,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.9972826242446899
PatchCore,leather,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.9296875596046448
PatchCore,leather,456,rescue,gaussian_blur,mild,Wiener,1.0
PatchCore,leather,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,leather,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.9962636232376099
PatchCore,leather,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.93138587474823
PatchCore,metal_nut,42,rescue,gaussian_blur,mild,Wiener,0.9775171875953674
PatchCore,metal_nut,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,metal_nut,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.48924732208251953
