model,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,bottle,42,rescue,gaussian_blur,mild,Wiener,0.9992063641548157
PatchCore,bottle,42,rescue,gaussian_blur,moderate,Wiener,0.5793651342391968
PatchCore,bottle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.8039682507514954
PatchCore,bottle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5063492059707642
PatchCore,bottle,123,rescue,gaussian_blur,mild,Wiener,0.9976189732551575
PatchCore,bottle,123,rescue,gaussian_blur,moderate,Wiener,0.5702381134033203
PatchCore,bottle,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.797619104385376
PatchCore,bottle,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4968253970146179
PatchCore,bottle,456,rescue,gaussian_blur,mild,Wiener,0.9976189732551575
PatchCore,bottle,456,rescue,gaussian_blur,moderate,Wiener,0.5825396776199341
PatchCore,bottle,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.8023809194564819
PatchCore,bottle,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5134921073913574
PatchCore,cable,42,rescue,gaussian_blur,mild,Wiener,0.938530683517456
PatchCore,cable,42,rescue,gaussian_blur,moderate,Wiener,0.5009370446205139
PatchCore,cable,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.587893545627594
PatchCore,cable,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.587050199508667
PatchCore,cable,123,rescue,gaussian_blur,mild,Wiener,0.9287856817245483
PatchCore,cable,123,rescue,gaussian_blur,moderate,Wiener,0.4906297028064728
PatchCore,cable,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5845202207565308
PatchCore,cable,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5952023863792419
PatchCore,cable,456,rescue,gaussian_blur,mild,Wiener,0.9377810955047607
PatchCore,cable,456,rescue,gaussian_blur,moderate,Wiener,0.49587705731391907
PatchCore,cable,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5817091464996338
PatchCore,cable,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5938905477523804
PatchCore,capsule,42,rescue,gaussian_blur,mild,Wiener,0.7762266397476196
PatchCore,capsule,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,capsule,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,capsule,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,capsule,123,rescue,gaussian_blur,mild,Wiener,0.7718388438224792
PatchCore,capsule,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,capsule,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,capsule,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,capsule,456,rescue,gaussian_blur,mild,Wiener,0.7865975499153137
PatchCore,capsule,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,capsule,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,capsule,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,carpet,42,rescue,gaussian_blur,mild,Wiener,0.9823434352874756
PatchCore,carpet,42,rescue,gaussian_blur,moderate,Wiener,0.49478334188461304
PatchCore,carpet,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.9394060373306274
PatchCore,carpet,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5654093027114868
PatchCore,carpet,123,rescue,gaussian_blur,mild,Wiener,0.983146071434021
PatchCore,carpet,123,rescue,gaussian_blur,moderate,Wiener,0.4612760841846466
PatchCore,carpet,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.9406099319458008
PatchCore,carpet,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5630016326904297
PatchCore,carpet,456,rescue,gaussian_blur,mild,Wiener,0.9783306121826172
PatchCore,carpet,456,rescue,gaussian_blur,moderate,Wiener,0.47291332483291626
PatchCore,carpet,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.9418138265609741
PatchCore,carpet,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5511637330055237
PatchCore,grid,42,rescue,gaussian_blur,mild,Wiener,0.6883876323699951
PatchCore,grid,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,grid,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5146198868751526
PatchCore,grid,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5396825075149536
PatchCore,grid,123,rescue,gaussian_blur,mild,Wiener,0.6800333857536316
PatchCore,grid,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,grid,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5317460298538208
PatchCore,grid,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5317460298538208
PatchCore,grid,456,rescue,gaussian_blur,mild,Wiener,0.6700083613395691
PatchCore,grid,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,grid,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5229741334915161
PatchCore,grid,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5317460298538208
PatchCore,hazelnut,42,rescue,gaussian_blur,mild,Wiener,0.9989285469055176
PatchCore,hazelnut,42,rescue,gaussian_blur,moderate,Wiener,0.4903571307659149
PatchCore,hazelnut,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.6621428728103638
PatchCore,hazelnut,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6035714149475098
PatchCore,hazelnut,123,rescue,gaussian_blur,mild,Wiener,0.9992856979370117
PatchCore,hazelnut,123,rescue,gaussian_blur,moderate,Wiener,0.5023214817047119
PatchCore,hazelnut,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6746428608894348
PatchCore,hazelnut,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6278570890426636
PatchCore,hazelnut,456,rescue,gaussian_blur,mild,Wiener,0.9989285469055176
PatchCore,hazelnut,456,rescue,gaussian_blur,moderate,Wiener,0.49196428060531616
