model,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,bottle,42,rescue,gaussian_blur,mild,Wiener,0.9714285731315613
PaDiM,bottle,42,rescue,gaussian_blur,moderate,Wiener,0.5555555820465088
PaDiM,bottle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.39920634031295776
PaDiM,bottle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.3968254029750824
PaDiM,bottle,123,rescue,gaussian_blur,mild,Wiener,0.9888888597488403
PaDiM,bottle,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,bottle,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.42777779698371887
PaDiM,bottle,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,bottle,456,rescue,gaussian_blur,mild,Wiener,1.0
PaDiM,bottle,456,rescue,gaussian_blur,moderate,Wiener,0.5841270089149475
PaDiM,bottle,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6317460536956787
PaDiM,bottle,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,cable,42,rescue,gaussian_blur,mild,Wiener,0.6473013162612915
PaDiM,cable,42,rescue,gaussian_blur,moderate,Wiener,0.5114318132400513
PaDiM,cable,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5127436518669128
PaDiM,cable,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5483508110046387
PaDiM,cable,123,rescue,gaussian_blur,mild,Wiener,0.7373501062393188
PaDiM,cable,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,cable,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.44340330362319946
PaDiM,cable,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5539730191230774
PaDiM,cable,456,rescue,gaussian_blur,mild,Wiener,0.4954085350036621
PaDiM,cable,456,rescue,gaussian_blur,moderate,Wiener,0.5030921697616577
PaDiM,cable,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.39317840337753296
PaDiM,cable,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5029047727584839
PaDiM,capsule,42,rescue,gaussian_blur,mild,Wiener,0.5325089693069458
PaDiM,capsule,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,capsule,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5512564778327942
PaDiM,capsule,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,capsule,123,rescue,gaussian_blur,mild,Wiener,0.6633426547050476
PaDiM,capsule,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,capsule,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5548464059829712
PaDiM,capsule,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5047866106033325
PaDiM,capsule,456,rescue,gaussian_blur,mild,Wiener,0.6350219249725342
PaDiM,capsule,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,capsule,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6106900572776794
PaDiM,capsule,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6545671820640564
PaDiM,carpet,42,rescue,gaussian_blur,mild,Wiener,0.8418940901756287
PaDiM,carpet,42,rescue,gaussian_blur,moderate,Wiener,0.5104333758354187
PaDiM,carpet,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.8051765561103821
PaDiM,carpet,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6280096769332886
PaDiM,carpet,123,rescue,gaussian_blur,mild,Wiener,0.949438214302063
PaDiM,carpet,123,rescue,gaussian_blur,moderate,Wiener,0.5232744812965393
PaDiM,carpet,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.9550561904907227
PaDiM,carpet,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5991171598434448
PaDiM,carpet,456,rescue,gaussian_blur,mild,Wiener,0.8912519812583923
PaDiM,carpet,456,rescue,gaussian_blur,moderate,Wiener,0.5361155867576599
PaDiM,carpet,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.8571428656578064
PaDiM,carpet,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4060995280742645
PaDiM,grid,42,rescue,gaussian_blur,mild,Wiener,0.4728487730026245
PaDiM,grid,42,rescue,gaussian_blur,moderate,Wiener,0.4277360141277313
PaDiM,grid,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5898078083992004
PaDiM,grid,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5747702121734619
PaDiM,grid,123,rescue,gaussian_blur,mild,Wiener,0.6370092034339905
PaDiM,grid,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,grid,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5622389316558838
PaDiM,grid,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5480367541313171
PaDiM,grid,456,rescue,gaussian_blur,mild,Wiener,0.5104427933692932
PaDiM,grid,456,rescue,gaussian_blur,moderate,Wiener,0.523809552192688
PaDiM,grid,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5973266363143921
PaDiM,grid,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5822890996932983
PaDiM,hazelnut,42,rescue,gaussian_blur,mild,Wiener,0.48500001430511475
PaDiM,hazelnut,42,rescue,gaussian_blur,moderate,Wiener,0.5464285612106323
PaDiM,hazelnut,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.46660712361335754
PaDiM,hazelnut,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.3149999976158142
PaDiM,hazelnut,123,rescue,gaussian_blur,mild,Wiener,0.5003571510314941
PaDiM,hazelnut,123,rescue,gaussian_blur,moderate,Wiener,0.4449999928474426
PaDiM,hazelnut,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5346428751945496
PaDiM,hazelnut,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4957142770290375
PaDiM,hazelnut,456,rescue,gaussian_blur,mild,Wiener,0.5039286017417908
PaDiM,hazelnut,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,hazelnut,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5071429014205933
PaDiM,hazelnut,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4928571283817291
PaDiM,leather,42,rescue,gaussian_blur,mild,Wiener,0.90013587474823
PaDiM,leather,42,rescue,gaussian_blur,moderate,Wiener,0.4959239363670349
