model,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,bottle,42,rescue,gaussian_blur,mild,Wiener,0.9365079402923584
PaDiM,bottle,42,rescue,gaussian_blur,moderate,Wiener,0.8158730268478394
PaDiM,bottle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.8134920597076416
PaDiM,bottle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.238095223903656
PaDiM,bottle,123,rescue,gaussian_blur,mild,Wiener,0.9746031761169434
PaDiM,bottle,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,bottle,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.7079365253448486
PaDiM,bottle,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.44999998807907104
PaDiM,bottle,456,rescue,gaussian_blur,mild,Wiener,1.0
PaDiM,bottle,456,rescue,gaussian_blur,moderate,Wiener,0.6428571343421936
PaDiM,bottle,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.7658730149269104
PaDiM,bottle,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.2916666865348816
PaDiM,cable,42,rescue,gaussian_blur,mild,Wiener,0.6639804840087891
PaDiM,cable,42,rescue,gaussian_blur,moderate,Wiener,0.5186468958854675
PaDiM,cable,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5106821060180664
PaDiM,cable,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4730134904384613
PaDiM,cable,123,rescue,gaussian_blur,mild,Wiener,0.6915292143821716
PaDiM,cable,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,cable,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.45558470487594604
PaDiM,cable,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4923163652420044
PaDiM,cable,456,rescue,gaussian_blur,mild,Wiener,0.492316335439682
PaDiM,cable,456,rescue,gaussian_blur,moderate,Wiener,0.4651423990726471
PaDiM,cable,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.4490255117416382
PaDiM,cable,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5305472612380981
PaDiM,capsule,42,rescue,gaussian_blur,mild,Wiener,0.5783805847167969
PaDiM,capsule,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,capsule,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5819705128669739
PaDiM,capsule,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4954128563404083
PaDiM,capsule,123,rescue,gaussian_blur,mild,Wiener,0.6035101413726807
PaDiM,capsule,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,capsule,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6673314571380615
PaDiM,capsule,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4986039102077484
PaDiM,capsule,456,rescue,gaussian_blur,mild,Wiener,0.6537694334983826
PaDiM,capsule,456,rescue,gaussian_blur,moderate,Wiener,0.5025927424430847
PaDiM,capsule,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5588352680206299
PaDiM,capsule,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6816912889480591
PaDiM,carpet,42,rescue,gaussian_blur,mild,Wiener,0.882022500038147
PaDiM,carpet,42,rescue,gaussian_blur,moderate,Wiener,0.5196629762649536
PaDiM,carpet,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.8033708333969116
PaDiM,carpet,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6560995578765869
PaDiM,carpet,123,rescue,gaussian_blur,mild,Wiener,0.9530497789382935
PaDiM,carpet,123,rescue,gaussian_blur,moderate,Wiener,0.5104333758354187
PaDiM,carpet,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.9570626020431519
PaDiM,carpet,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6119582653045654
PaDiM,carpet,456,rescue,gaussian_blur,mild,Wiener,0.9337880611419678
PaDiM,carpet,456,rescue,gaussian_blur,moderate,Wiener,0.5509630441665649
PaDiM,carpet,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.9237560033798218
PaDiM,carpet,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4638844132423401
PaDiM,grid,42,rescue,gaussian_blur,mild,Wiener,0.5350877046585083
PaDiM,grid,42,rescue,gaussian_blur,moderate,Wiener,0.43024230003356934
PaDiM,grid,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.611528754234314
PaDiM,grid,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.61654132604599
PaDiM,grid,123,rescue,gaussian_blur,mild,Wiener,0.6157059669494629
PaDiM,grid,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,grid,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5563910007476807
PaDiM,grid,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6908938884735107
PaDiM,grid,456,rescue,gaussian_blur,mild,Wiener,0.5162907242774963
PaDiM,grid,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,grid,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6240601539611816
PaDiM,grid,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5756056308746338
PaDiM,hazelnut,42,rescue,gaussian_blur,mild,Wiener,0.46642857789993286
PaDiM,hazelnut,42,rescue,gaussian_blur,moderate,Wiener,0.5532143115997314
PaDiM,hazelnut,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.4808928668498993
PaDiM,hazelnut,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5710713863372803
PaDiM,hazelnut,123,rescue,gaussian_blur,mild,Wiener,0.5635714530944824
PaDiM,hazelnut,123,rescue,gaussian_blur,moderate,Wiener,0.5425000190734863
PaDiM,hazelnut,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.7339285612106323
PaDiM,hazelnut,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5864285826683044
PaDiM,hazelnut,456,rescue,gaussian_blur,mild,Wiener,0.476250022649765
PaDiM,hazelnut,456,rescue,gaussian_blur,moderate,Wiener,0.550000011920929
PaDiM,hazelnut,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.49392858147621155
PaDiM,hazelnut,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5146428346633911
PaDiM,leather,42,rescue,gaussian_blur,mild,Wiener,0.9133831262588501
PaDiM,leather,42,rescue,gaussian_blur,moderate,Wiener,0.5224184989929199
PaDiM,leather,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.9181386232376099
PaDiM,leather,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.9147418737411499
PaDiM,leather,123,rescue,gaussian_blur,mild,Wiener,0.99558424949646
PaDiM,leather,123,rescue,gaussian_blur,moderate,Wiener,0.48556387424468994
PaDiM,leather,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.9758831858634949
PaDiM,leather,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.79076087474823
PaDiM,leather,456,rescue,gaussian_blur,mild,Wiener,0.8243886232376099
PaDiM,leather,456,rescue,gaussian_blur,moderate,Wiener,0.6569293737411499
PaDiM,leather,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.90455162525177
PaDiM,leather,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.792119562625885
PaDiM,metal_nut,42,rescue,gaussian_blur,mild,Wiener,0.7126100063323975
PaDiM,metal_nut,42,rescue,gaussian_blur,moderate,Wiener,0.5615835785865784
PaDiM,metal_nut,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5161290168762207
