model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,VisA,candle,42,rescue,gaussian_blur,mild,Wiener,0.7559000253677368
PatchCore,VisA,candle,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,candle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,123,rescue,gaussian_blur,mild,Wiener,0.776900053024292
PatchCore,VisA,candle,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,candle,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,456,rescue,gaussian_blur,mild,Wiener,0.7922000288963318
PatchCore,VisA,candle,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,candle,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,42,rescue,gaussian_blur,mild,Wiener,0.606166660785675
PatchCore,VisA,capsules,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,capsules,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,123,rescue,gaussian_blur,mild,Wiener,0.6833333969116211
PatchCore,VisA,capsules,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,capsules,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,456,rescue,gaussian_blur,mild,Wiener,0.609666645526886
PatchCore,VisA,capsules,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,capsules,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,cashew,42,rescue,gaussian_blur,mild,Wiener,0.9061999917030334
PatchCore,VisA,cashew,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,cashew,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.6970000267028809
PatchCore,VisA,cashew,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,cashew,123,rescue,gaussian_blur,mild,Wiener,0.923799991607666
PatchCore,VisA,cashew,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,cashew,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6988000273704529
PatchCore,VisA,cashew,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,cashew,456,rescue,gaussian_blur,mild,Wiener,0.9167999625205994
PatchCore,VisA,cashew,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,cashew,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6993999481201172
PatchCore,VisA,cashew,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,chewinggum,42,rescue,gaussian_blur,mild,Wiener,0.9824000597000122
PatchCore,VisA,chewinggum,42,rescue,gaussian_blur,moderate,Wiener,0.5099999904632568
PatchCore,VisA,chewinggum,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5927000045776367
PatchCore,VisA,chewinggum,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,chewinggum,123,rescue,gaussian_blur,mild,Wiener,0.98580002784729
PatchCore,VisA,chewinggum,123,rescue,gaussian_blur,moderate,Wiener,0.5099999904632568
PatchCore,VisA,chewinggum,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5837000608444214
PatchCore,VisA,chewinggum,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4950000047683716
PatchCore,VisA,chewinggum,456,rescue,gaussian_blur,mild,Wiener,0.989799976348877
PatchCore,VisA,chewinggum,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,chewinggum,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5392000079154968
PatchCore,VisA,chewinggum,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,fryum,42,rescue,gaussian_blur,mild,Wiener,0.8650000095367432
PatchCore,VisA,fryum,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,fryum,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.9890000820159912
PatchCore,VisA,fryum,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.7332000136375427
PatchCore,VisA,fryum,123,rescue,gaussian_blur,mild,Wiener,0.8858000040054321
PatchCore,VisA,fryum,123,rescue,gaussian_blur,moderate,Wiener,0.5
