model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,VisA,candle,42,rescue,gaussian_blur,mild,Wiener,0.7670999765396118
PaDiM,VisA,candle,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,candle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,123,rescue,gaussian_blur,mild,Wiener,0.7217999696731567
PaDiM,VisA,candle,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,candle,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6103999614715576
PaDiM,VisA,candle,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,456,rescue,gaussian_blur,mild,Wiener,0.4950000047683716
PaDiM,VisA,candle,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,candle,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5049999952316284
PaDiM,VisA,candle,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,42,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,VisA,capsules,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,capsules,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,123,rescue,gaussian_blur,mild,Wiener,0.6535000205039978
PaDiM,VisA,capsules,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,capsules,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.596500039100647
PaDiM,VisA,capsules,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5533332824707031
PaDiM,VisA,capsules,456,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,VisA,capsules,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,capsules,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5401666760444641
PaDiM,VisA,capsules,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,cashew,42,rescue,gaussian_blur,mild,Wiener,0.7452000379562378
PaDiM,VisA,cashew,42,rescue,gaussian_blur,moderate,Wiener,0.600600004196167
PaDiM,VisA,cashew,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.7215999960899353
PaDiM,VisA,cashew,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5503999590873718
PaDiM,VisA,cashew,123,rescue,gaussian_blur,mild,Wiener,0.6410000324249268
PaDiM,VisA,cashew,123,rescue,gaussian_blur,moderate,Wiener,0.5174000263214111
PaDiM,VisA,cashew,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6263999938964844
PaDiM,VisA,cashew,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6158000230789185
PaDiM,VisA,cashew,456,rescue,gaussian_blur,mild,Wiener,0.7145999670028687
PaDiM,VisA,cashew,456,rescue,gaussian_blur,moderate,Wiener,0.48919999599456787
PaDiM,VisA,cashew,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6276000142097473
PaDiM,VisA,cashew,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5756000280380249
PaDiM,VisA,chewinggum,42,rescue,gaussian_blur,mild,Wiener,0.9778000116348267
PaDiM,VisA,chewinggum,42,rescue,gaussian_blur,moderate,Wiener,0.7283999919891357
PaDiM,VisA,chewinggum,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.8682000041007996
PaDiM,VisA,chewinggum,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5738999843597412
PaDiM,VisA,chewinggum,123,rescue,gaussian_blur,mild,Wiener,0.9215999841690063
PaDiM,VisA,chewinggum,123,rescue,gaussian_blur,moderate,Wiener,0.5020000338554382
PaDiM,VisA,chewinggum,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.7351000308990479
PaDiM,VisA,chewinggum,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6598000526428223
PaDiM,VisA,chewinggum,456,rescue,gaussian_blur,mild,Wiener,0.9391999840736389
PaDiM,VisA,chewinggum,456,rescue,gaussian_blur,moderate,Wiener,0.6007000207901001
PaDiM,VisA,chewinggum,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6684999465942383
PaDiM,VisA,chewinggum,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.597000002861023
PaDiM,VisA,fryum,42,rescue,gaussian_blur,mild,Wiener,0.6880000233650208
PaDiM,VisA,fryum,42,rescue,gaussian_blur,moderate,Wiener,0.5227000117301941
PaDiM,VisA,fryum,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.6227999925613403
PaDiM,VisA,fryum,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6177999973297119
PaDiM,VisA,fryum,123,rescue,gaussian_blur,mild,Wiener,0.8202000260353088
PaDiM,VisA,fryum,123,rescue,gaussian_blur,moderate,Wiener,0.3935999870300293
PaDiM,VisA,fryum,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.7084000110626221
PaDiM,VisA,fryum,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6480000019073486
PaDiM,VisA,fryum,456,rescue,gaussian_blur,mild,Wiener,0.7026000022888184
PaDiM,VisA,fryum,456,rescue,gaussian_blur,moderate,Wiener,0.5676000118255615
PaDiM,VisA,fryum,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.782800018787384
PaDiM,VisA,fryum,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5083999633789062
PaDiM,VisA,macaroni1,42,rescue,gaussian_blur,mild,Wiener,0.651900053024292
PaDiM,VisA,macaroni1,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,macaroni1,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.6661999821662903
PaDiM,VisA,macaroni1,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.529900074005127
PaDiM,VisA,macaroni1,123,rescue,gaussian_blur,mild,Wiener,0.6798499822616577
PaDiM,VisA,macaroni1,123,rescue,gaussian_blur,moderate,Wiener,0.5049999952316284
PaDiM,VisA,macaroni1,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.669950008392334
PaDiM,VisA,macaroni1,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5501500368118286
PaDiM,VisA,macaroni1,456,rescue,gaussian_blur,mild,Wiener,0.663100004196167
PaDiM,VisA,macaroni1,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,macaroni1,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6636000275611877
