model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,applied_to
PatchCore,MVTec-AD,carpet,42,rescue,clean,none,CLAHE,0.9899678230285645,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,carpet,42,rescue,clean,none,Retinex,0.9406099319458008,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,carpet,42,rescue,clean,none,Wiener,0.8952648639678955,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,carpet,42,rescue,clean,none,Wiener (Motion PSF),0.4791332185268402,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,carpet,42,rescue,clean,none,NLM Denoise,0.9867575764656067,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,carpet,42,rescue,clean,none,Dehaze (Dark Channel),0.9887640476226807,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,carpet,42,rescue,fog_haze,mild,CLAHE,0.8138042092323303,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,fog_haze,moderate,CLAHE,0.5549759268760681,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,fog_haze,severe,CLAHE,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,motion_blur,mild,Wiener,0.732945442199707,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,motion_blur,moderate,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,motion_blur,severe,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,gaussian_blur,mild,Wiener (Motion PSF),0.49438202381134033,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,gaussian_blur,moderate,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,gaussian_blur,severe,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,sensor_noise,mild,Dehaze (Dark Channel),0.9771267771720886,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,sensor_noise,moderate,Dehaze (Dark Channel),0.9506419897079468,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,sensor_noise,severe,Dehaze (Dark Channel),0.8760032057762146,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,low_light,mild,NLM Denoise,0.9875601530075073,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,low_light,moderate,NLM Denoise,0.9658908247947693,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,carpet,42,rescue,low_light,severe,NLM Denoise,0.8069823384284973,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,carpet,42,rescue,clean,none,CLAHE,0.9707062840461731,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,carpet,42,rescue,clean,none,Retinex,0.9237560033798218,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,carpet,42,rescue,clean,none,Wiener,0.8202247619628906,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,carpet,42,rescue,clean,none,Wiener (Motion PSF),0.5854735374450684,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,carpet,42,rescue,clean,none,NLM Denoise,0.9775280952453613,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,carpet,42,rescue,clean,none,Dehaze (Dark Channel),0.9686999320983887,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,carpet,42,rescue,fog_haze,mild,CLAHE,0.7287319302558899,clean,rescue_mismatched,wrong_corruption
