model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,VisA,candle,42,baseline,clean,none,none,0.8994999527931213
PaDiM,VisA,candle,42,degradation,low_light,mild,none,0.6525999903678894
PaDiM,VisA,candle,42,rescue,low_light,mild,CLAHE,0.4950000047683716
PaDiM,VisA,candle,42,rescue,low_light,mild,Retinex,0.4961999654769897
PaDiM,VisA,candle,42,degradation,low_light,moderate,none,0.5049999952316284
PaDiM,VisA,candle,42,rescue,low_light,moderate,CLAHE,0.5051000118255615
PaDiM,VisA,candle,42,rescue,low_light,moderate,Retinex,0.4749999940395355
PaDiM,VisA,candle,42,degradation,low_light,severe,none,0.5
PaDiM,VisA,candle,42,rescue,low_light,severe,CLAHE,0.5
PaDiM,VisA,candle,42,rescue,low_light,severe,Retinex,0.5
PaDiM,VisA,candle,42,degradation,gaussian_blur,mild,none,0.853600025177002
PaDiM,VisA,candle,42,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,VisA,candle,42,degradation,gaussian_blur,moderate,none,0.7659000158309937
PaDiM,VisA,candle,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,candle,42,degradation,gaussian_blur,severe,none,0.5
PaDiM,VisA,candle,42,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,VisA,candle,42,degradation,motion_blur,mild,none,0.7847999930381775
PaDiM,VisA,candle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,42,degradation,motion_blur,moderate,none,0.5199999809265137
PaDiM,VisA,candle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,42,degradation,motion_blur,severe,none,0.5
PaDiM,VisA,candle,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,42,degradation,sensor_noise,mild,none,0.5896000266075134
PaDiM,VisA,candle,42,rescue,sensor_noise,mild,NLM Denoise,0.559749960899353
PaDiM,VisA,candle,42,degradation,sensor_noise,moderate,none,0.5
PaDiM,VisA,candle,42,rescue,sensor_noise,moderate,NLM Denoise,0.5287999510765076
PaDiM,VisA,candle,42,degradation,sensor_noise,severe,none,0.5
PaDiM,VisA,candle,42,rescue,sensor_noise,severe,NLM Denoise,0.530750036239624
PaDiM,VisA,candle,42,degradation,fog_haze,mild,none,0.5557000041007996
PaDiM,VisA,candle,42,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5049999952316284
PaDiM,VisA,candle,42,degradation,fog_haze,moderate,none,0.5
PaDiM,VisA,candle,42,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5
PaDiM,VisA,candle,42,degradation,fog_haze,severe,none,0.5
PaDiM,VisA,candle,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PaDiM,VisA,candle,123,baseline,clean,none,none,0.8693999648094177
PaDiM,VisA,candle,123,degradation,low_light,mild,none,0.8540999889373779
PaDiM,VisA,candle,123,rescue,low_light,mild,CLAHE,0.8193999528884888
PaDiM,VisA,candle,123,rescue,low_light,mild,Retinex,0.5683000087738037
PaDiM,VisA,candle,123,degradation,low_light,moderate,none,0.5152000188827515
PaDiM,VisA,candle,123,rescue,low_light,moderate,CLAHE,0.4717000126838684
PaDiM,VisA,candle,123,rescue,low_light,moderate,Retinex,0.5741000175476074
PaDiM,VisA,candle,123,degradation,low_light,severe,none,0.5049999952316284
PaDiM,VisA,candle,123,rescue,low_light,severe,CLAHE,0.5099999904632568
PaDiM,VisA,candle,123,rescue,low_light,severe,Retinex,0.4950000047683716
PaDiM,VisA,candle,123,degradation,gaussian_blur,mild,none,0.8069000244140625
PaDiM,VisA,candle,123,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,VisA,candle,123,degradation,gaussian_blur,moderate,none,0.5409500002861023
PaDiM,VisA,candle,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,candle,123,degradation,gaussian_blur,severe,none,0.5227999687194824
PaDiM,VisA,candle,123,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,VisA,candle,123,degradation,motion_blur,mild,none,0.7615000009536743
PaDiM,VisA,candle,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,123,degradation,motion_blur,moderate,none,0.5485000014305115
PaDiM,VisA,candle,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,123,degradation,motion_blur,severe,none,0.5989999771118164
PaDiM,VisA,candle,123,rescue,motion_blur,severe,Wiener (Motion PSF),0.4950000047683716
PaDiM,VisA,candle,123,degradation,sensor_noise,mild,none,0.6362000107765198
PaDiM,VisA,candle,123,rescue,sensor_noise,mild,NLM Denoise,0.6176999807357788
PaDiM,VisA,candle,123,degradation,sensor_noise,moderate,none,0.5741000175476074
PaDiM,VisA,candle,123,rescue,sensor_noise,moderate,NLM Denoise,0.6624000072479248
PaDiM,VisA,candle,123,degradation,sensor_noise,severe,none,0.4850000143051147
PaDiM,VisA,candle,123,rescue,sensor_noise,severe,NLM Denoise,0.5886000394821167
PaDiM,VisA,candle,123,degradation,fog_haze,mild,none,0.4998500049114227
PaDiM,VisA,candle,123,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5
PaDiM,VisA,candle,123,degradation,fog_haze,moderate,none,0.5
PaDiM,VisA,candle,123,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5
PaDiM,VisA,candle,123,degradation,fog_haze,severe,none,0.5
PaDiM,VisA,candle,123,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PaDiM,VisA,candle,456,baseline,clean,none,none,0.9079000353813172
PaDiM,VisA,candle,456,degradation,low_light,mild,none,0.7573999762535095
