model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,VisA,candle,42,baseline,clean,none,none,0.9721999168395996
PatchCore,VisA,candle,42,degradation,low_light,mild,none,0.8928999900817871
PatchCore,VisA,candle,42,rescue,low_light,mild,CLAHE,0.5
PatchCore,VisA,candle,42,rescue,low_light,mild,Retinex,0.6092000007629395
PatchCore,VisA,candle,42,degradation,low_light,moderate,none,0.630050003528595
PatchCore,VisA,candle,42,rescue,low_light,moderate,CLAHE,0.5
PatchCore,VisA,candle,42,rescue,low_light,moderate,Retinex,0.5
PatchCore,VisA,candle,42,degradation,low_light,severe,none,0.5
PatchCore,VisA,candle,42,rescue,low_light,severe,CLAHE,0.5
PatchCore,VisA,candle,42,rescue,low_light,severe,Retinex,0.5
PatchCore,VisA,candle,42,degradation,gaussian_blur,mild,none,0.901699960231781
PatchCore,VisA,candle,42,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,VisA,candle,42,degradation,gaussian_blur,moderate,none,0.5
PatchCore,VisA,candle,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,candle,42,degradation,gaussian_blur,severe,none,0.5
PatchCore,VisA,candle,42,rescue,gaussian_blur,severe,Wiener,0.5
PatchCore,VisA,candle,42,degradation,motion_blur,mild,none,0.843000054359436
PatchCore,VisA,candle,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,42,degradation,motion_blur,moderate,none,0.5
PatchCore,VisA,candle,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,42,degradation,motion_blur,severe,none,0.5
PatchCore,VisA,candle,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,42,degradation,sensor_noise,mild,none,0.5
PatchCore,VisA,candle,42,rescue,sensor_noise,mild,NLM Denoise,0.4589000344276428
PatchCore,VisA,candle,42,degradation,sensor_noise,moderate,none,0.5
PatchCore,VisA,candle,42,rescue,sensor_noise,moderate,NLM Denoise,0.5
PatchCore,VisA,candle,42,degradation,sensor_noise,severe,none,0.5
PatchCore,VisA,candle,42,rescue,sensor_noise,severe,NLM Denoise,0.5
